,VoterID,result of attempt
1710,2162062500.0,Canvassed
1712,2162062500.0,Canvassed
1717,2174815051.0,Canvassed
1720,1202502399.0,Canvassed
1723,1183688625.0,Canvassed
1782,1104958427.0,Canvassed
1786,2137314127.0,Canvassed
1787,2143592312.0,Canvassed
1811,2147098022.0,Canvassed
1812,1180654804.0,Canvassed
1816,2148677577.0,Canvassed
1847,2143406509.0,Canvassed
1858,1176623452.0,Canvassed
1862,1196614783.0,Canvassed
1869,1116682880.0,Canvassed
1870,2144886134.0,Canvassed
1871,1111191615.0,Canvassed
1872,1112405725.0,Canvassed
1873,1170995500.0,Canvassed
1874,1119178625.0,Canvassed
1875,1103719255.0,Canvassed
1876,2186509165.0,Canvassed
1877,1111925709.0,Canvassed
1878,1211848700.0,Canvassed
1879,1110661687.0,Canvassed
1880,2001172788.0,Canvassed
1881,2125750267.0,Canvassed
1882,2001754649.0,Canvassed
1883,1103045569.0,Canvassed
1884,1114347291.0,Canvassed
1885,2184567301.0,Canvassed
1886,1143689024.0,Canvassed
1887,1209727599.0,Canvassed
1888,1171719970.0,Canvassed
1889,2166127963.0,Canvassed
1890,2148862425.0,Canvassed
1891,2183834737.0,Canvassed
1892,2164686043.0,Canvassed
1893,2161674570.0,Canvassed
1894,2135421529.0,Canvassed
1895,2177942933.0,Canvassed
1896,1153898979.0,Canvassed
1897,2137960816.0,Canvassed
1898,1102280756.0,Canvassed
1899,1102298111.0,Canvassed
1900,1103049503.0,Canvassed
1901,1103184488.0,Canvassed
1902,1119196179.0,Canvassed
1903,1166780672.0,Canvassed
1904,1112409138.0,Canvassed
1905,2179361930.0,Canvassed
1906,1202793966.0,Canvassed
1907,1152945860.0,Canvassed
1908,1119228792.0,Canvassed
1909,1110198951.0,Canvassed
1910,1201571112.0,Canvassed
1911,2179587769.0,Canvassed
1912,1109255465.0,Canvassed
1913,2177336319.0,Canvassed
1914,1218577067.0,Canvassed
1915,2001837800.0,Canvassed
1916,2164272012.0,Canvassed
1917,2135517680.0,Canvassed
1918,2136828547.0,Canvassed
1919,2156760673.0,Canvassed
1920,1199159941.0,Canvassed
1921,1213440415.0,Canvassed
1922,1146383861.0,Canvassed
1923,1103577879.0,Canvassed
1924,1111908536.0,Canvassed
1925,2168552480.0,Canvassed
1926,1112367208.0,Canvassed
1927,2152579211.0,Canvassed
1928,1111191881.0,Canvassed
1929,1102288536.0,Canvassed
1930,1219762392.0,Canvassed
1931,2180332978.0,Canvassed
1932,2187464508.0,Canvassed
1933,1108812362.0,Canvassed
1934,1043427395.0,Canvassed
1935,1147395094.0,Canvassed
1936,1102265724.0,Canvassed
1937,1112447565.0,Canvassed
1938,2179356118.0,Canvassed
1939,1103154991.0,Canvassed
1940,2178529666.0,Canvassed
1941,2144591279.0,Canvassed
1942,,Canvassed
1943,2184040842.0,Canvassed
1944,2186281584.0,Canvassed
1945,2132768912.0,Canvassed
1946,1174165311.0,Canvassed
1947,2180450496.0,Canvassed
1948,1108806210.0,Canvassed
1949,1112344251.0,Canvassed
1950,1104248838.0,Canvassed
1951,2176486300.0,Canvassed
1952,1103032468.0,Canvassed
1953,1139406086.0,Canvassed
1954,1102344612.0,Canvassed
1955,1212405184.0,Canvassed
1956,2123590810.0,Canvassed
1957,2174747904.0,Canvassed
1958,1102365946.0,Canvassed
1959,1216330175.0,Canvassed
1960,1165576025.0,Canvassed
1961,2159200426.0,Canvassed
1962,2142760737.0,Canvassed
1963,1121548492.0,Canvassed
1964,2124474180.0,Canvassed
1965,2137839489.0,Canvassed
1966,1203400517.0,Canvassed
1967,1110611620.0,Canvassed
1968,2002175359.0,Canvassed
1969,1203537020.0,Canvassed
1970,2143516585.0,Canvassed
1971,2188489848.0,Canvassed
1972,2120800245.0,Canvassed
1973,1102752620.0,Canvassed
1974,1110277717.0,Canvassed
1975,1179530270.0,Canvassed
1976,2185581064.0,Canvassed
1977,1180830706.0,Canvassed
1978,2170447899.0,Canvassed
1979,2127199855.0,Canvassed
1980,1161501775.0,Canvassed
1981,1108858843.0,Canvassed
1982,1165291223.0,Canvassed
1983,1206397977.0,Canvassed
1984,1144441025.0,Canvassed
1985,1102751899.0,Canvassed
1986,2173951744.0,Canvassed
1987,1191763736.0,Canvassed
1988,1102311807.0,Canvassed
1989,1161348367.0,Canvassed
1990,2186508278.0,Canvassed
1991,1110122288.0,Canvassed
1992,1180944303.0,Canvassed
1993,2160115952.0,Canvassed
1994,1185767924.0,Canvassed
1995,2145890750.0,Canvassed
1996,1111158835.0,Canvassed
1997,2156642512.0,Canvassed
1998,1103069179.0,Canvassed
1999,2165258760.0,Canvassed
2000,2164259200.0,Canvassed
2001,2145999724.0,Canvassed
2002,2177616562.0,Canvassed
2003,1103942287.0,Canvassed
2004,1061260847.0,Canvassed
2005,2128428129.0,Canvassed
2006,1170768035.0,Canvassed
2007,1111917349.0,Canvassed
2008,2176521321.0,Canvassed
2009,1112335062.0,Canvassed
2010,1102321583.0,Canvassed
2011,2175950837.0,Canvassed
2012,2159634239.0,Canvassed
2013,2179784020.0,Canvassed
2014,2158213781.0,Canvassed
2015,2141580130.0,Canvassed
2016,2163935663.0,Canvassed
2017,2164685932.0,Canvassed
2018,2153867488.0,Canvassed
2019,2003071645.0,Canvassed
2020,1111875457.0,Canvassed
2021,1105752187.0,Canvassed
2022,2121986057.0,Canvassed
2023,2176309561.0,Canvassed
2024,2129640847.0,Canvassed
2025,1219036818.0,Canvassed
2026,2179192264.0,Canvassed
2027,2184005065.0,Canvassed
2039,2152560280.0,Canvassed
2041,2152564817.0,Canvassed
2043,1121595383.0,Canvassed
2052,2142466347.0,Canvassed
2065,2180196974.0,Canvassed
2069,1206972499.0,Canvassed
2070,2131959477.0,Canvassed
2072,2163148723.0,Canvassed
2079,2187265645.0,Canvassed
2080,2162625136.0,Canvassed
2082,2153477695.0,Canvassed
2103,2129640847.0,Canvassed
2105,2135781849.0,Canvassed
2107,2160671458.0,Canvassed
2108,1208347413.0,Canvassed
2109,1119128670.0,Canvassed
2125,2173873490.0,Canvassed
2132,2189281434.0,Canvassed
2136,1220095754.0,Canvassed
2140,1119153655.0,Canvassed
2158,2135518626.0,Canvassed
2162,2185437167.0,Canvassed
2167,2124866485.0,Canvassed
2178,1119136963.0,Canvassed
2185,2137938012.0,Canvassed
2191,2001619839.0,Canvassed
2192,2184243162.0,Canvassed
2198,2160057623.0,Canvassed
2214,1159397097.0,Canvassed
2223,1193850691.0,Canvassed
2240,1195396368.0,Canvassed
2245,2125237333.0,Canvassed
2253,1105794617.0,Canvassed
2254,,Canvassed
2258,1115945628.0,Canvassed
2260,1206972499.0,Canvassed
2261,2131959477.0,Canvassed
2296,2155351441.0,Canvassed
2297,1179275300.0,Canvassed
2300,2148669578.0,Canvassed
2307,2147726432.0,Canvassed
2312,2157271235.0,Canvassed
2316,1112217177.0,Canvassed
2320,1208874539.0,Canvassed
2324,2166802268.0,Canvassed
2327,1196811067.0,Canvassed
2335,2187265645.0,Canvassed
2338,2173945280.0,Canvassed
2341,1112978529.0,Canvassed
2357,2142413795.0,Canvassed
2371,2185428620.0,Canvassed
2372,2160360761.0,Canvassed
2375,2140266829.0,Canvassed
2377,1172482292.0,Canvassed
2384,2131680307.0,Canvassed
2386,2124750199.0,Canvassed
2392,1105832726.0,Canvassed
2393,2163148723.0,Canvassed
2394,1112240646.0,Canvassed
2406,2153477695.0,Canvassed
2407,2135156676.0,Canvassed
2411,1211326336.0,Canvassed
2420,1222198410.0,Canvassed
2421,2158839450.0,Canvassed
2424,2140884639.0,Canvassed
2428,2178913145.0,Canvassed
2434,1199571449.0,Canvassed
2441,1108556117.0,Canvassed
2446,1206757441.0,Canvassed
2456,2162625136.0,Canvassed
2457,2122413478.0,Canvassed
2468,1108851425.0,Canvassed
2475,1208700573.0,Canvassed
2487,1216084214.0,Canvassed
2498,2145652343.0,Canvassed
2504,2140081762.0,Canvassed
2515,1200172996.0,Canvassed
2517,2002521928.0,Canvassed
2536,1171575893.0,Canvassed
2552,1112405725.0,Canvassed
2562,1114668779.0,Canvassed
2577,2147856514.0,Canvassed
2579,1168777131.0,Canvassed
2585,2191743297.0,Canvassed
2589,1185770268.0,Canvassed
2639,1106831550.0,Canvassed
2645,2150577374.0,Canvassed
2659,1112335635.0,Canvassed
2663,1112335635.0,Canvassed
2670,2143961083.0,Canvassed
2671,2164689477.0,Canvassed
2715,2171120050.0,Canvassed
2716,2189484748.0,Canvassed
2717,2138669915.0,Canvassed
2718,2189484345.0,Canvassed
2726,2161373330.0,Canvassed
2727,2175063504.0,Canvassed
2766,2001976110.0,Canvassed
2768,2173784071.0,Canvassed
2769,2173783703.0,Canvassed
2778,1161361442.0,Canvassed
2788,2147808379.0,Canvassed
2828,2000713099.0,Canvassed
2835,2188468196.0,Canvassed
2854,2190169386.0,Canvassed
2864,1163669173.0,Canvassed
2895,1157794147.0,Canvassed
2898,2184990046.0,Canvassed
2901,1185127014.0,Canvassed
2903,2188607651.0,Canvassed
2905,2166136943.0,Canvassed
2927,1013040735.0,Canvassed
2956,2192069280.0,Canvassed
2957,2192069280.0,Canvassed
2958,1208197685.0,Canvassed
2959,1208197685.0,Canvassed
2962,2155665054.0,Canvassed
2965,1120807330.0,Canvassed
2968,2150278376.0,Canvassed
2969,2148524449.0,Canvassed
2970,2173769452.0,Canvassed
2971,2150278376.0,Canvassed
2972,1109194398.0,Canvassed
2973,2148524449.0,Canvassed
2984,1204283030.0,Canvassed
2989,2123779083.0,Canvassed
2992,2183721025.0,Canvassed
3002,2153272348.0,Canvassed
3023,1112328356.0,Canvassed
3033,2180571100.0,Canvassed
3034,,Canvassed
3037,2193106594.0,Canvassed
3041,1192953815.0,Canvassed
3043,1119683993.0,Canvassed
3047,2175686256.0,Canvassed
3052,2190921861.0,Canvassed
3054,2179784841.0,Canvassed
3057,1146534013.0,Canvassed
3061,2193193670.0,Canvassed
3066,1174676492.0,Canvassed
3070,2152087826.0,Canvassed
3074,2001621694.0,Canvassed
3093,2160603975.0,Canvassed
3101,2178852320.0,Canvassed
3112,1194960589.0,Canvassed
3128,2177732864.0,Canvassed
3130,1217758890.0,Canvassed
3132,2192316053.0,Canvassed
3135,1141592030.0,Canvassed
3137,1145048735.0,Canvassed
3152,1068694055.0,Canvassed
3161,1112424106.0,Canvassed
3162,2122318879.0,Canvassed
3177,1112384318.0,Canvassed
3181,1108033231.0,Canvassed
3186,2141530907.0,Canvassed
3187,2152554486.0,Canvassed
3191,2142666759.0,Canvassed
3193,1183715193.0,Canvassed
3194,1216367141.0,Canvassed
3201,1169034201.0,Canvassed
3207,2144422330.0,Canvassed
3210,1112405760.0,Canvassed
3217,2191284749.0,Canvassed
3225,2126173864.0,Canvassed
3226,1163569257.0,Canvassed
3232,1175084258.0,Canvassed
3238,2159377001.0,Canvassed
3241,1180202915.0,Canvassed
3242,1183890913.0,Canvassed
3243,2173089277.0,Canvassed
3246,2132735567.0,Canvassed
3248,1191751143.0,Canvassed
3249,1171299548.0,Canvassed
3251,1203010967.0,Canvassed
3256,1141602697.0,Canvassed
3261,2160517998.0,Canvassed
3272,1112336267.0,Canvassed
3277,2174293652.0,Canvassed
3279,2160290369.0,Canvassed
3280,2176528226.0,Canvassed
3281,1112440598.0,Canvassed
3285,2156160597.0,Canvassed
3291,2156537680.0,Canvassed
3294,1186004962.0,Canvassed
3303,1109934923.0,Canvassed
3305,2140303172.0,Canvassed
3310,1109951755.0,Canvassed
3312,2187677261.0,Canvassed
3317,2001350587.0,Canvassed
3318,1108268857.0,Canvassed
3321,2163771120.0,Canvassed
3323,1112334689.0,Canvassed
3330,1178605154.0,Canvassed
3349,2160371048.0,Canvassed
3356,1195597454.0,Canvassed
3362,1112340654.0,Canvassed
3368,2192025986.0,Canvassed
3369,2136918822.0,Canvassed
3371,1153027280.0,Canvassed
3378,1198288387.0,Canvassed
3386,1171762447.0,Canvassed
3393,1219036716.0,Canvassed
3394,2179192264.0,Canvassed
3401,1105387629.0,Canvassed
3438,2002436826.0,Canvassed
3443,2164115260.0,Canvassed
3444,2125189233.0,Canvassed
3465,1102486561.0,Canvassed
3467,2178946426.0,Canvassed
3489,1101056275.0,Canvassed
3495,1112393524.0,Canvassed
3497,1168327606.0,Canvassed
3500,1179385520.0,Canvassed
3501,1112351893.0,Canvassed
3506,2157064053.0,Canvassed
3509,2190019161.0,Canvassed
3517,2171125571.0,Canvassed
3523,2185160578.0,Canvassed
3525,2127167491.0,Canvassed
3530,1219208112.0,Canvassed
3534,2129343803.0,Canvassed
3543,2180549110.0,Canvassed
3544,2180549152.0,Canvassed
3548,1194504590.0,Canvassed
3551,2157483131.0,Canvassed
3556,1217789970.0,Canvassed
3589,1185501588.0,Canvassed
3602,1203012111.0,Canvassed
3614,1200825824.0,Canvassed
3615,2156536367.0,Canvassed
3616,2174317825.0,Canvassed
3617,2134861574.0,Canvassed
3634,2152579627.0,Canvassed
3655,1180830706.0,Canvassed
3659,1186612782.0,Canvassed
3662,2188492751.0,Canvassed
3665,1176239568.0,Canvassed
3669,1220267743.0,Canvassed
3676,1180944303.0,Canvassed
3678,2185765553.0,Canvassed
3679,2175217278.0,Canvassed
3701,2133014466.0,Canvassed
3706,1160179443.0,Canvassed
3715,1099595704.0,Canvassed
3726,2003174115.0,Canvassed
3733,1112424498.0,Canvassed
3737,1112382329.0,Canvassed
3738,2146065482.0,Canvassed
3742,1209728136.0,Canvassed
3752,2145312281.0,Canvassed
3757,2132600213.0,Canvassed
3767,2140933222.0,Canvassed
3771,1184279451.0,Canvassed
3774,1191775934.0,Canvassed
3777,2145846109.0,Canvassed
3781,1164238969.0,Canvassed
3786,1119228989.0,Canvassed
3793,1120276252.0,Canvassed
3802,1110675681.0,Canvassed
3813,2135789173.0,Canvassed
3814,1211183566.0,Canvassed
3816,2137912904.0,Canvassed
3826,2185547069.0,Canvassed
3827,1206168533.0,Canvassed
3837,2173482085.0,Canvassed
3841,2179362219.0,Canvassed
3848,1197435806.0,Canvassed
3849,2184914501.0,Canvassed
3852,2190990275.0,Canvassed
3868,1177343984.0,Canvassed
3870,2003517202.0,Canvassed
3871,1119153968.0,Canvassed
3874,2154511066.0,Canvassed
3875,2175237878.0,Canvassed
3882,2180219715.0,Canvassed
3903,2161126247.0,Canvassed
3905,1199596963.0,Canvassed
3906,2135100048.0,Canvassed
3907,2159043500.0,Canvassed
3925,1181037023.0,Canvassed
3926,1111875211.0,Canvassed
3927,1119170407.0,Canvassed
3931,1119162572.0,Canvassed
3941,2002920557.0,Canvassed
3949,2155356622.0,Canvassed
3952,2149455729.0,Canvassed
3953,1170204913.0,Canvassed
3966,2133271018.0,Canvassed
3974,2158757907.0,Canvassed
3976,1114816048.0,Canvassed
3978,2168834058.0,Canvassed
3985,1119253892.0,Canvassed
3993,1119245192.0,Canvassed
4006,2159657137.0,Canvassed
4007,1053868893.0,Canvassed
4014,1119163033.0,Canvassed
4023,1212889890.0,Canvassed
4031,2140175778.0,Canvassed
4032,2125663058.0,Canvassed
4033,1220490403.0,Canvassed
4046,2145649103.0,Canvassed
4050,2141361716.0,Canvassed
4054,2179261658.0,Canvassed
4063,2126620412.0,Canvassed
4064,2136984008.0,Canvassed
4065,2159906117.0,Canvassed
4073,1149541629.0,Canvassed
4079,1104719305.0,Canvassed
4084,2155886154.0,Canvassed
4091,2178397247.0,Canvassed
4092,2123394359.0,Canvassed
4106,2134905260.0,Canvassed
4113,2192134100.0,Canvassed
4114,1117119675.0,Canvassed
4115,2124279092.0,Canvassed
4116,2143300555.0,Canvassed
4117,1213879747.0,Canvassed
4118,2152982518.0,Canvassed
4159,1110660209.0,Canvassed
4161,1110660348.0,Canvassed
4178,2159330757.0,Canvassed
4200,1108126687.0,Canvassed
4201,1221811995.0,Canvassed
4214,1173014100.0,Canvassed
4244,1110651891.0,Canvassed
4247,1110629213.0,Canvassed
4254,1103033281.0,Canvassed
4276,2142920135.0,Canvassed
4279,2163193505.0,Canvassed
4280,2179628536.0,Canvassed
4281,2167064842.0,Canvassed
4285,2160602030.0,Canvassed
4322,1103024967.0,Canvassed
4361,2156734487.0,Canvassed
4379,1103130504.0,Canvassed
4381,1197437357.0,Canvassed
4383,1103081301.0,Canvassed
4437,1111875796.0,Canvassed
4438,1111859280.0,Canvassed
4439,1111926457.0,Canvassed
4440,1111825877.0,Canvassed
4441,1111917656.0,Canvassed
4445,1185371162.0,Canvassed
4446,2152982212.0,Canvassed
4447,2119525789.0,Canvassed
4448,2188894697.0,Canvassed
4451,2154910159.0,Canvassed
4452,1217401649.0,Canvassed
4453,1197747794.0,Canvassed
4454,1197305134.0,Canvassed
4455,2144888583.0,Canvassed
4456,2188895260.0,Canvassed
4479,1170957391.0,Canvassed
4491,1211329348.0,Canvassed
4501,2146885652.0,Canvassed
4514,2136744287.0,Canvassed
4530,2166652046.0,Canvassed
4531,1213503791.0,Canvassed
4532,1111892679.0,Canvassed
4533,1154015582.0,Canvassed
4536,2152680715.0,Canvassed
4538,2159942568.0,Canvassed
4547,1111883393.0,Canvassed
4555,1202934629.0,Canvassed
4558,2175490437.0,Canvassed
4560,2139061969.0,Canvassed
4561,2142069542.0,Canvassed
4562,2148411508.0,Canvassed
4566,2194922239.0,Canvassed
4568,1111867068.0,Canvassed
4659,2168832305.0,Canvassed
4660,2148605284.0,Canvassed
4661,1111875950.0,Canvassed
4662,2138831525.0,Canvassed
4663,2164645355.0,Canvassed
4664,2184416359.0,Canvassed
4665,2159905921.0,Canvassed
4666,2186293404.0,Canvassed
4667,2180546784.0,Canvassed
4668,2172008686.0,Canvassed
4669,2190846274.0,Canvassed
4670,1195155790.0,Canvassed
4685,1108046034.0,Canvassed
4686,2145385545.0,Canvassed
4696,2129478962.0,Canvassed
4697,2139834043.0,Canvassed
4699,1119195204.0,Canvassed
4723,1217669247.0,Canvassed
4724,2155980966.0,Canvassed
4752,1178204730.0,Canvassed
4753,1142940243.0,Canvassed
4766,2000987149.0,Canvassed
4771,2136652809.0,Canvassed
4776,2160056951.0,Canvassed
4777,2177340441.0,Canvassed
4790,2186737142.0,Canvassed
4791,1144474638.0,Canvassed
4792,2001224279.0,Canvassed
4795,2163152144.0,Canvassed
4840,1111875783.0,Canvassed
4841,2003257569.0,Canvassed
4846,2131243092.0,Canvassed
4847,1150388637.0,Canvassed
4866,1145041593.0,Canvassed
4894,1212287813.0,Canvassed
4895,2189019274.0,Canvassed
4896,,Canvassed
4898,2130591985.0,Canvassed
4899,1111926211.0,Canvassed
4906,2131681383.0,Canvassed
4909,1000746850.0,Canvassed
4914,1102374642.0,Canvassed
4915,1171104923.0,Canvassed
4916,1102280725.0,Canvassed
4917,2003495823.0,Canvassed
4926,1166328595.0,Canvassed
4945,1208877958.0,Canvassed
4946,2122527164.0,Canvassed
4948,2177675364.0,Canvassed
4952,2190057072.0,Canvassed
4956,1102326977.0,Canvassed
4968,1185624812.0,Canvassed
4969,1104258166.0,Canvassed
4970,1104258514.0,Canvassed
4973,1158745699.0,Canvassed
4978,1197806160.0,Canvassed
4979,1102264461.0,Canvassed
4980,1222064884.0,Canvassed
4982,1102265186.0,Canvassed
4983,2175422367.0,Canvassed
4984,1102319268.0,Canvassed
4988,1102319275.0,Canvassed
4993,2141621751.0,Canvassed
4994,1218222978.0,Canvassed
4995,1141667529.0,Canvassed
4996,1102367111.0,Canvassed
4997,1109983723.0,Canvassed
4998,1102335598.0,Canvassed
5000,1217301653.0,Canvassed
5005,2142957838.0,Canvassed
5007,2162419964.0,Canvassed
5012,2189281888.0,Canvassed
5024,1145344464.0,Canvassed
5026,2162272575.0,Canvassed
5045,2147097909.0,Canvassed
5047,2178620093.0,Canvassed
5109,1173401318.0,Canvassed
5110,,Canvassed
5137,1212582020.0,Canvassed
5138,1111875160.0,Canvassed
5139,2155351062.0,Canvassed
5140,2192873811.0,Canvassed
5141,1111883099.0,Canvassed
5142,2143115360.0,Canvassed
5143,2161222942.0,Canvassed
5144,1102367013.0,Canvassed
5145,1102320022.0,Canvassed
5146,1111824775.0,Canvassed
5156,1111883121.0,Canvassed
5183,1111908455.0,Canvassed
5185,1168560271.0,Canvassed
5187,2134024337.0,Canvassed
5188,1119245440.0,Canvassed
5194,2177082197.0,Canvassed
5195,1105736214.0,Canvassed
5225,2177943329.0,Canvassed
5226,2155607136.0,Canvassed
5227,1111850247.0,Canvassed
5228,1111800184.0,Canvassed
