Voter ID,Date Called,Time Called (EST),Contact Outcome
2185196475,11/1/22,06:14 PM EST,Wrong Number (20)
2148678117,11/2/22,06:03 PM EST,Hangup
2188742376,11/2/22,06:02 PM EST,Other Language
1209625787,11/1/22,06:16 PM EST,Wrong Number (20)
2185547228,11/1/22,06:16 PM EST,Wrong Number (20)
1105663048,11/1/22,06:15 PM EST,Wrong Number (20)
2142484769,11/1/22,06:17 PM EST,Talking to Correct Person
1105273186,11/1/22,06:18 PM EST,Talking to Correct Person
1186736524,11/2/22,06:04 PM EST,Not Home (1)
1201618636,11/1/22,06:18 PM EST,Talking to Correct Person
2158544582,11/1/22,06:19 PM EST,Wrong Number (20)
2135861550,11/2/22,06:05 PM EST,Not Home (1)
1103106314,11/1/22,06:18 PM EST,Wrong Number (20)
2191358684,11/2/22,06:07 PM EST,Hangup
1193977818,11/1/22,06:20 PM EST,Wrong Number (20)
1216366819,11/3/22,01:47 PM EST,Hangup
1109210210,11/1/22,06:22 PM EST,Wrong Number (20)
2135782050,11/2/22,06:08 PM EST,Not Home (1)
1179803510,11/2/22,06:10 PM EST,Hangup
2001761197,11/1/22,06:22 PM EST,Wrong Number (20)
1107361924,11/2/22,05:53 PM EST,Wrong Number (20)
1183792330,11/1/22,06:23 PM EST,Wrong Number (20)
1211304031,11/2/22,06:12 PM EST,Hangup
2127436579,11/1/22,06:23 PM EST,Talking to Correct Person
1110021627,11/2/22,06:15 PM EST,Hangup
1117119718,11/2/22,06:13 PM EST,Hangup
1187994450,11/2/22,06:15 PM EST,Other Language
2180292402,11/2/22,06:15 PM EST,Hangup
2135983856,11/1/22,06:26 PM EST,Talking to Correct Person
2185578669,11/2/22,06:19 PM EST,Hangup
2149455327,11/2/22,06:22 PM EST,Hangup
2188893923,11/2/22,06:22 PM EST,Not Home (1)
2186639218,11/1/22,06:27 PM EST,Wrong Number (20)
1209905013,11/2/22,06:23 PM EST,Hangup
1110249966,11/2/22,06:23 PM EST,Not Home (1)
1202430602,11/2/22,05:59 PM EST,Hangup
1203774826,11/2/22,06:28 PM EST,Hangup
1106105154,11/1/22,06:29 PM EST,Talking to Correct Person
1103069292,11/1/22,06:32 PM EST,Talking to Correct Person
1117208492,11/2/22,06:28 PM EST,Hangup
2135861901,11/1/22,06:32 PM EST,Talking to Correct Person
1177343474,11/2/22,06:29 PM EST,Hangup
1107255026,11/2/22,06:29 PM EST,Hangup
2185547216,11/1/22,06:29 PM EST,Talking to Correct Person
2153255287,11/2/22,06:30 PM EST,Hangup
1180801940,11/2/22,06:31 PM EST,Not Home (1)
2188984820,11/2/22,06:30 PM EST,Wrong Number (20)
1119058622,11/2/22,06:01 PM EST,Hangup
2154310803,11/2/22,06:31 PM EST,Not Home (1)
2136129979,11/1/22,06:37 PM EST,Talking to Correct Person
1149981949,11/1/22,06:38 PM EST,Wrong Number (20)
2160370498,11/2/22,06:33 PM EST,Hangup
1016266336,11/2/22,06:33 PM EST,Hangup
1147647656,11/1/22,06:40 PM EST,Hangup
1198430962,11/1/22,06:40 PM EST,Wrong Number (20)
1147647656,11/1/22,06:40 PM EST,Talking to Correct Person
1197686810,11/1/22,06:42 PM EST,Talking to Correct Person
2159903942,11/1/22,06:43 PM EST,Talking to Correct Person
2140343195,11/1/22,06:46 PM EST,Talking to Correct Person
2154310646,11/1/22,06:48 PM EST,Hangup
2177838845,11/2/22,05:41 PM EST,Talking to Correct Person
2135862312,11/2/22,05:14 PM EST,Deliverability Error (212)
2131695899,11/3/22,12:21 PM EST,Hangup
1111247793,11/3/22,12:23 PM EST,Talking to Correct Person
2190726836,11/3/22,12:27 PM EST,Hangup
2190685490,11/3/22,12:30 PM EST,Hangup
1119153981,11/3/22,12:19 PM EST,Hangup
1202860517,11/2/22,05:19 PM EST,Talking to Correct Person
2120833432,11/3/22,12:30 PM EST,Not Home (1)
1145975557,11/3/22,12:42 PM EST,Hangup
1214147187,11/3/22,12:46 PM EST,Hangup
1121262652,11/2/22,05:22 PM EST,Wrong Number (20)
1166003943,11/3/22,12:48 PM EST,Hangup
1214351182,11/3/22,12:51 PM EST,Hangup
2133012892,11/3/22,12:37 PM EST,Not Home (1)
2131218262,11/3/22,12:36 PM EST,Hangup
2160219588,11/2/22,05:24 PM EST,Wrong Number (20)
2134929808,11/3/22,12:38 PM EST,Hangup
1205973631,11/2/22,05:24 PM EST,Talking to Correct Person
2137834844,11/3/22,12:57 PM EST,Wrong Number (20)
2178580406,11/3/22,01:06 PM EST,Talking to Correct Person
2123996042,11/2/22,05:25 PM EST,Wrong Number (20)
2128762457,11/2/22,05:25 PM EST,Wrong Number (20)
2137834790,11/3/22,12:44 PM EST,Hangup
1102656403,11/2/22,05:26 PM EST,Wrong Number (20)
1194877416,11/2/22,05:28 PM EST,Wrong Number (20)
2148807446,11/3/22,01:17 PM EST,Hangup
2135861739,11/3/22,01:17 PM EST,Hangup
2131689778,11/3/22,12:52 PM EST,Hangup
1210372797,11/3/22,01:16 PM EST,Hangup
2179629166,11/2/22,05:31 PM EST,Other Language
1118140530,11/2/22,05:32 PM EST,Wrong Number (20)
2136342703,11/3/22,01:23 PM EST,Hangup
1160755114,11/2/22,05:31 PM EST,Wrong Number (20)
1115942438,11/3/22,12:54 PM EST,Other Language
1116614646,11/2/22,05:33 PM EST,Talking to Correct Person
1161410701,11/2/22,05:35 PM EST,Talking to Correct Person
2188894467,11/2/22,05:35 PM EST,Wrong Number (20)
1118115713,11/2/22,05:36 PM EST,Wrong Number (20)
2159906977,11/2/22,05:35 PM EST,Wrong Number (20)
2158266419,11/3/22,01:27 PM EST,Other Language
2124177270,11/2/22,05:38 PM EST,Talking to Correct Person
2133429442,11/3/22,01:27 PM EST,Hangup
1213614283,11/2/22,05:37 PM EST,Wrong Number (20)
2142816711,11/3/22,01:29 PM EST,Hangup
2000953538,11/3/22,01:06 PM EST,Hangup
2149457659,11/3/22,01:32 PM EST,Hangup
2129093464,11/2/22,05:40 PM EST,Wrong Number (20)
1106826569,11/2/22,05:40 PM EST,Wrong Number (20)
1102312031,11/3/22,01:46 PM EST,Not Home (1)
1165212988,11/3/22,01:41 PM EST,Not Home (1)
2135861827,11/2/22,05:41 PM EST,Talking to Correct Person
2123885521,11/2/22,05:43 PM EST,Wrong Number (20)
2158214202,11/2/22,05:42 PM EST,Talking to Correct Person
2148806776,11/2/22,05:45 PM EST,Wrong Number (20)
1208196131,11/2/22,05:45 PM EST,Wrong Number (20)
1186729341,11/2/22,05:46 PM EST,Talking to Correct Person
2003070336,11/2/22,05:46 PM EST,Talking to Correct Person
2126678746,11/2/22,05:47 PM EST,Wrong Number (20)
2159936357,11/3/22,01:48 PM EST,Hangup
1176273437,11/2/22,05:47 PM EST,Talking to Correct Person
1171723490,11/2/22,05:47 PM EST,Wrong Number (20)
2159906912,11/2/22,05:47 PM EST,Wrong Number (20)
2159904784,11/2/22,05:48 PM EST,Wrong Number (20)
1199742238,11/2/22,05:49 PM EST,Wrong Number (20)
2121298795,11/2/22,05:49 PM EST,Wrong Number (20)
1106489522,11/3/22,01:38 PM EST,Hangup
2173128826,11/3/22,01:59 PM EST,Hangup
1183728483,11/3/22,02:01 PM EST,Hangup
2186428823,11/2/22,05:52 PM EST,Hangup
2186480764,11/3/22,02:01 PM EST,Hangup
2128586847,11/2/22,05:52 PM EST,Talking to Correct Person
1098609859,11/2/22,05:53 PM EST,Wrong Number (20)
2149463183,11/2/22,05:53 PM EST,Talking to Correct Person
1107361924,11/2/22,05:53 PM EST,Talking to Correct Person
2176524167,11/2/22,05:55 PM EST,Hangup
2142921686,11/2/22,05:55 PM EST,Hangup
2000959017,11/2/22,05:55 PM EST,Other Language
2128757352,11/2/22,05:57 PM EST,Wrong Number (20)
1211649849,11/2/22,05:57 PM EST,Talking to Correct Person
1202430602,11/2/22,05:59 PM EST,Hangup
2138672093,11/2/22,05:57 PM EST,Hangup
2135952447,11/2/22,05:58 PM EST,Other Language
1100541704,11/2/22,06:01 PM EST,Hangup
2156239357,11/2/22,05:59 PM EST,Hangup
2168557073,11/2/22,06:00 PM EST,Wrong Number (20)
2135985093,11/2/22,06:00 PM EST,Talking to Correct Person
--,11/2/22,06:00 PM EST,Not Home (1)
1200587722,11/2/22,06:01 PM EST,Hangup
1119058622,11/2/22,06:01 PM EST,Not Home (1)
2140081665,11/2/22,06:02 PM EST,Talking to Correct Person
1214030397,11/2/22,06:01 PM EST,Other Language
1221490581,11/2/22,06:02 PM EST,Hangup
1152918030,11/2/22,06:03 PM EST,Wrong Number (20)
2188742376,11/2/22,06:02 PM EST,Not Home (1)
2185516811,11/2/22,06:03 PM EST,Talking to Correct Person
1186736524,11/2/22,06:04 PM EST,Hangup
2141134564,11/2/22,06:04 PM EST,Other Language
2002170000,11/2/22,06:04 PM EST,Talking to Correct Person
2125039825,11/2/22,06:05 PM EST,Wrong Number (20)
2135861550,11/2/22,06:05 PM EST,Hangup
1112155681,11/2/22,06:07 PM EST,Talking to Correct Person
2135782050,11/2/22,06:08 PM EST,Hangup
1209642724,11/2/22,06:07 PM EST,Wrong Number (20)
2160051496,11/2/22,06:07 PM EST,Talking to Correct Person
1108740844,11/2/22,06:09 PM EST,Wrong Number (20)
1179803510,11/2/22,06:10 PM EST,Wrong Number (20)
1211304031,11/2/22,06:12 PM EST,Hangup
2175737278,11/2/22,06:12 PM EST,Talking to Correct Person
2128984524,11/2/22,06:15 PM EST,Wrong Number (20)
1114369186,11/2/22,06:15 PM EST,Talking to Correct Person
2127901427,11/2/22,06:20 PM EST,Hangup
2185578669,11/2/22,06:19 PM EST,Talking to Correct Person
2149457415,11/2/22,06:20 PM EST,Wrong Number (20)
1110249966,11/2/22,06:23 PM EST,Not Home (1)
2124712947,11/2/22,06:23 PM EST,Hangup
1209905013,11/2/22,06:23 PM EST,Hangup
2160057623,11/2/22,06:25 PM EST,Not Home (1)
2159450097,11/2/22,06:26 PM EST,Not Home (1)
1207075660,11/2/22,06:26 PM EST,Talking to Correct Person
2190463232,11/2/22,06:29 PM EST,Hangup
2152787334,11/2/22,06:28 PM EST,Hangup
1117208492,11/2/22,06:28 PM EST,Other Language
2188471002,11/2/22,06:29 PM EST,Wrong Number (20)
1116928276,11/2/22,06:29 PM EST,Wrong Number (20)
1177343474,11/2/22,06:29 PM EST,Talking to Correct Person
1180801940,11/2/22,06:31 PM EST,Not Home (1)
2188984820,11/2/22,06:30 PM EST,Wrong Number (20)
2154311008,11/2/22,06:31 PM EST,Talking to Correct Person
2142816366,11/2/22,06:31 PM EST,Not Home (1)
2154310803,11/2/22,06:31 PM EST,Talking to Correct Person
2185716660,11/2/22,06:32 PM EST,Wrong Number (20)
1016266336,11/2/22,06:33 PM EST,Hangup
1214032133,11/2/22,06:35 PM EST,Wrong Number (20)
1119153981,11/3/22,12:19 PM EST,Hangup
1102685132,11/3/22,12:25 PM EST,Wrong Number (20)
2120833432,11/3/22,12:30 PM EST,Not Home (1)
2190685490,11/3/22,12:30 PM EST,Not Home (1)
2190721305,11/3/22,12:33 PM EST,Other Language
2131218262,11/3/22,12:36 PM EST,Refused (2)
2190726917,11/3/22,12:38 PM EST,Hangup
2190328433,11/3/22,12:45 PM EST,Hangup
1108586871,11/3/22,12:43 PM EST,Not Home (1)
1166003943,11/3/22,12:48 PM EST,Hangup
1154726844,11/3/22,12:52 PM EST,Hangup
2131689778,11/3/22,12:52 PM EST,Other Language
2178722617,11/3/22,12:55 PM EST,Hangup
2130227617,11/3/22,12:57 PM EST,Not Home (1)
1106477336,11/3/22,01:04 PM EST,Other Language
1115942438,11/3/22,12:54 PM EST,Not Home (1)
1214032007,11/3/22,01:02 PM EST,Hangup
2137834844,11/3/22,12:57 PM EST,Wrong Number (20)
2190087758,11/3/22,01:00 PM EST,Other Language
2140084140,11/3/22,01:01 PM EST,Wrong Number (20)
2185681182,11/3/22,01:07 PM EST,Hangup
2178580406,11/3/22,01:06 PM EST,Talking to Correct Person
2128760737,11/3/22,01:12 PM EST,Not Home (1)
2128350416,11/3/22,01:14 PM EST,Talking to Correct Person
2148805457,11/3/22,01:18 PM EST,Wrong Number (20)
2123784999,11/3/22,01:17 PM EST,Talking to Correct Person
2137835105,11/3/22,01:22 PM EST,Hangup
1105688996,11/3/22,01:23 PM EST,Talking to Correct Person
2188494587,11/3/22,01:24 PM EST,Hangup
2191358548,11/3/22,01:26 PM EST,Hangup
