,Voter ID,VOTE_TYPE,ZIP,SEX,BIRTHYEAR,Voting Site,Voting Precinct
1347,1102334741,E,77003,M,1938,91022,10
1348,1102373972,P,77003,F,1965,SRD143R,10
1349,1102366207,P,77003,M,1954,SRD143R,10
1350,1103703306,E,77003,F,1966,92023,10
1352,1102265661,P,77003,F,1966,SRD143R,10
1353,1103620477,P,77003,F,1945,SRD143R,10
1354,1102381816,P,77003,M,1966,SRD143R,10
1355,1102735716,P,77011,M,1962,SRD143R,10
1357,1102767081,P,77003,F,1969,SRD143R,10
1359,1102664816,P,77011,F,1964,SRD143R,10
1360,1102303607,P,77011,M,1943,SRD143R,10
1361,1102303579,P,77003,F,1959,SRD143R,10
1362,1102303551,E,77003,F,1961,92023,10
1363,1112125543,P,77003,F,1963,SRD129S,10
1365,1102357281,P,77003,F,1950,SRD148B,10
1366,1102334940,P,77011,M,1954,SRD143R,10
1368,1102334917,P,77011,F,1953,SRD143R,10
1369,1102327123,P,77011,F,1945,SRD143R,10
1370,1102319299,P,77011,F,1948,SRD143R,10
1372,1102303624,P,77011,M,1954,SRD143R,10
1373,1102311375,P,77003,F,1945,SRD143R,10
1374,1102311404,P,77003,M,1962,SRD143R,10
1375,1102311427,P,77011,F,1944,SRD143R,10
1376,1102319223,P,77003,M,1964,SRD143R,10
1377,1102319206,P,77011,F,1960,SRD143R,10
1378,1102366322,P,77011,F,1967,SRD143R,10
1379,1102374091,P,77011,M,1941,SRD143R,10
1380,1102374129,E,77003,F,1964,91022,10
1381,1102342788,P,77003,M,1966,SRD143R,10
1382,1116692302,E,77011,F,1964,92023,10
1383,1102382004,E,77011,F,1965,92023,10
1384,1102374164,P,77003,F,1948,SRD143R,10
1385,1102264604,E,77011,M,1958,91022,10
1386,1106651762,E,77003,M,1953,92130,10
1387,1102272417,P,77011,F,1955,SRD143R,10
1389,1102264643,E,77003,M,1967,92023,10
1390,1102264662,P,77003,F,1943,SRD143R,10
1391,1102265851,P,77011,M,1968,SRD143R,10
1392,1102265912,E,77011,F,1960,92025,11
1393,1102265954,P,77011,M,1969,SRD143R,11
1394,1102265965,P,77011,M,1951,SRD143R,11
1395,1102367549,E,77011,M,1966,92023,11
1396,1102383195,E,77011,F,1964,92023,11
1397,1102375401,P,77011,M,1967,SRD143R,11
1398,1102375365,P,77011,F,1947,SRD143R,11
1399,1116477998,P,77011,M,1963,SRD143R,11
1400,1102343946,P,77011,M,1962,SRD143R,11
1401,1102328320,P,77011,M,1937,SRD143R,11
1402,1102328267,E,77011,M,1946,92023,11
1403,1102328251,E,77011,M,1961,91022,11
1404,1117386527,P,77011,F,1953,SRD143R,11
1406,1102289215,P,77011,M,1970,SRD143R,11
1407,1102281434,P,77011,M,1946,SRD143R,11
1408,1102289150,P,77011,F,1955,SRD143R,11
1409,1102273569,P,77011,F,1944,SRD143R,11
1410,1102281327,E,77011,M,1968,92141,11
1411,1102281358,E,77011,F,1968,92023,11
1412,1118624939,P,77011,M,1962,SRD129E,11
1413,1102281370,P,77011,F,1970,SRD143R,11
1414,1119470627,P,77011,F,1957,SRD143R,11
1415,1102383032,E,77011,F,1954,92023,11
1416,1102375279,P,77011,F,1964,SRD143R,11
1417,1102375222,E,77011,M,1954,91022,11
1418,1102375214,P,77011,M,1964,SRD143R,11
1419,1102383009,P,77011,M,1960,SRD143R,11
1420,1102335960,P,77011,F,1947,SRD143R,11
1421,1102328222,P,77011,F,1946,SRD143R,11
1422,1102328159,P,77011,F,1957,SRD143R,11
1425,1102320359,P,77011,F,1947,SRD143R,11
1426,1102320385,P,77011,F,1952,SRD143R,11
1427,1102312467,P,77011,M,1946,SRD143R,11
1428,1102304720,E,77011,F,1937,92023,11
1429,1102616115,E,77011,M,1956,92023,11
1430,1102351706,P,77011,F,1928,SRD143R,11
1431,1102351723,P,77011,M,1962,SRD143R,11
1432,1102343914,E,77011,F,1960,91022,11
1433,1102343876,P,77011,M,1953,SRD143R,11
1435,1110188942,P,77011,F,1959,SRD143R,11
1436,1102336069,P,77011,M,1962,SRD140B,11
1437,1121504957,P,77011,M,1962,SRD143R,11
1439,1102375061,P,77011,F,1946,SRD143R,11
1440,1102375128,P,77011,M,1937,SRD143R,11
1441,1102265544,P,77011,M,1945,SRD143R,11
1442,1102382908,P,77011,M,1954,SRD143R,11
1443,1102367239,P,77011,F,1943,SRD143R,11
1445,1102359489,E,77011,F,1940,92023,11
1446,1102289010,P,77011,F,1949,SRD143R,11
1447,1102289023,P,77011,F,1957,SRD143R,11
1448,1102281260,P,77011,M,1954,SRD143R,11
1449,1102281202,P,77011,F,1956,SRD137B,11
1450,1111243123,P,77011,F,1954,SRD143R,11
1452,1102335885,P,77011,M,1947,SRD143R,11
1453,1102320154,E,77011,F,1932,91022,11
1456,1102351515,P,77011,M,1929,SRD143R,11
1457,1102273650,P,77011,M,1954,SRD143R,11
1573,1102295654,P,77003,M,1957,SRD143R,10
3725,1111167032,P,77087,F,1958,SRD146C,379
5523,1103122089,P,77009,M,1943,SRD145M,44
5524,1120261259,P,77009,F,1955,SRD145M,44
5525,1103121902,P,77009,F,1954,SRD001C,44
5526,1103121837,P,77009,F,1941,SRD145M,44
5527,1103097323,P,77009,M,1954,SRD145M,44
5529,1103097254,E,77009,M,1954,92143,44
5530,1103105489,P,77009,M,1952,SRD145M,44
5531,1103137921,P,77009,M,1956,SRD145M,44
5532,1103137909,E,77009,F,1930,91052,44
5533,1103137966,E,77009,F,1954,92060,44
5534,1103137978,E,77009,F,1944,92060,44
5535,1103804619,P,77009,M,1957,SRD145M,44
5536,1103080942,P,77009,M,1939,SRD145M,44
5537,1103089065,E,77009,M,1932,92060,44
5538,1103089110,E,77009,M,1936,92060,44
5539,1103089083,P,77009,F,1945,SRD145M,44
5540,-2147483648,P,77009,M,1903,SRD145M,44
5541,1117264221,P,77009,F,1948,SRD135S,44
5542,1103040365,E,77009,M,1937,92060,44
5543,1103064751,P,77009,F,1946,SRD145M,44
5544,1103064779,P,77009,F,1938,SRD145M,44
5545,1103153910,P,77009,F,1934,SRD145M,44
5546,1103081068,E,77009,M,1963,92060,44
5547,1103073014,P,77009,M,1962,SRD145M,44
5548,1114959347,P,77009,M,1963,SRD145M,44
5549,1103081121,P,77009,F,1952,SRD145M,44
5550,1103089293,E,77009,F,1964,91052,44
5552,1103097399,P,77009,F,1962,SRD145M,44
5553,1103072932,E,77009,F,1961,91052,44
5554,1103072945,P,77009,M,1961,SRD145M,44
5556,1115182505,P,77009,F,1961,SRD145J,44
5561,1103153999,P,77009,M,1953,SRD145M,44
5563,1109339824,E,77009,F,1964,92060,44
5565,1103073098,E,77009,M,1966,92143,44
5566,1103065040,P,77009,M,1958,SRD145M,44
5567,1103040641,P,77009,M,1937,SRD145M,44
5568,1103426294,P,77009,F,1952,SRD145M,44
5569,1106149523,P,77009,F,1954,SRD147E,44
5571,1103990640,E,77009,M,1964,92060,44
5572,1103048756,E,77009,F,1963,11158,44
5573,1105704681,E,77009,F,1963,92060,44
5574,1118844266,P,77009,F,1955,SRD145M,44
5575,1118123313,P,77009,M,1967,SRD145J,44
5576,1103097489,P,77009,F,1961,SRD145M,44
5577,1103081236,E,77009,F,1953,92060,44
5578,1103081215,P,77009,F,1963,SRD145M,44
5579,1103113978,P,77009,F,1956,SRD145M,44
5580,1120278641,P,77009,M,1955,SRD145M,44
5581,1103113945,P,77009,M,1930,SRD145M,44
5582,1103113909,P,77009,F,1967,SRD145M,44
5583,1103113899,P,77009,F,1933,SRD145M,44
5584,1103105732,E,77009,F,1956,92060,44
5585,1103032406,P,77009,F,1971,SRD145C,44
5586,1116454334,P,77009,M,1956,SRD145M,44
5587,1103154175,P,77009,F,1944,SRD145M,44
5588,1103146075,E,77009,M,1964,12143,44
5589,1106189876,E,77009,M,1960,92060,44
5590,1113692910,P,77009,F,1946,SRD145M,44
5591,1103872223,P,77009,F,1959,SRD134M,44
5592,1103113806,E,77009,F,1959,92060,44
5593,1103130003,E,77009,F,1945,92060,44
5594,1103130061,E,77009,M,1970,91052,44
5595,1103122004,P,77009,F,1954,SRD145M,44
5596,1103121973,P,77009,F,1957,SRD001C,44
5650,1104894637,P,77009,F,1965,SRD145M,46
5651,1103134762,P,77009,F,1960,SRD145M,46
5652,1103141659,P,77009,M,1947,SRD145M,46
5653,1103085714,E,77009,F,1946,91052,46
5654,1103141709,E,77009,F,1967,92143,46
5655,1103134704,P,77009,F,1946,SRD145M,46
5656,1103134665,P,77009,M,1966,SRD145M,46
5657,1103134654,P,77009,F,1962,SRD145M,46
5658,1103134631,P,77009,F,1930,SRD145M,46
5660,1112804092,P,77009,M,1969,SRD150B,46
5661,1103134961,E,77009,F,1966,91052,46
5662,1103141784,E,77009,M,1964,92060,46
5663,1103134886,P,77009,M,1967,SRD145M,46
5664,1108410889,P,77009,M,1945,SRD145M,46
5665,1103086040,P,77026,F,1948,SRD128P,46
5666,1103141853,P,77009,M,1965,SRD145M,46
5667,1103141967,P,77009,F,1970,SRD145M,46
5668,1103086157,P,77009,M,1969,SRD145M,46
5669,1103032336,E,77009,M,1969,91052,46
5670,1103141946,E,77009,M,1970,91052,46
5672,1103093143,E,77009,M,1970,92060,46
5673,1103135106,E,77009,F,1947,91052,46
5674,1103093213,P,77009,F,1960,SRD134M,46
5675,1103142524,P,77009,F,1968,SRD145M,46
5676,1102143364,E,77009,F,1969,92061,46
5677,1103149366,E,77009,F,1968,92030,46
5678,1103142390,P,77009,F,1968,SRD145M,46
5679,1103135405,E,77009,M,1966,12142,46
5680,1116398492,P,77009,F,1956,SRD145M,46
5685,1103142374,P,77009,F,1964,SRD134G,46
5686,1103149299,P,77009,F,1967,SRD145M,46
5687,1103093526,P,77009,F,1966,SRD145M,46
5688,1103149332,P,77009,F,1964,SRD145M,46
5689,1103135175,P,77009,F,1962,SRD145M,46
5690,1116761914,P,77009,F,1962,SRD145M,46
5691,1103093311,P,77009,F,1956,SRD145M,46
5692,1103093245,P,77009,F,1958,SRD145M,46
5694,1103149164,P,77009,M,1949,SRD145M,46
5695,1103149210,P,77009,F,1966,SRD145M,46
5696,1103135319,E,77009,F,1948,91052,46
5697,1103791919,P,77009,M,1962,SRD145M,46
5699,1103127407,P,77009,F,1952,SRD145M,46
5700,1103127424,P,77009,F,1961,SRD145M,46
5701,1103127411,P,77009,M,1953,SRD145M,46
5702,1103134263,P,77009,F,1948,SRD145M,46
5703,1103085330,P,77009,F,1946,SRD145M,46
5704,1103085311,P,77009,M,1945,SRD145M,46
5705,1103085266,P,77009,M,1947,SRD145M,46
5706,1103078323,P,77009,F,1950,SRD145M,46
5707,1103078093,E,77009,F,1949,91052,46
5708,1103134122,P,77009,M,1951,SRD145M,46
5709,1103085213,P,77009,F,1946,SRD145M,46
5710,1103085143,P,77009,M,1956,SRD145M,46
5712,1103078188,P,77009,F,1952,SRD145M,46
5713,1103078190,P,77009,M,1951,SRD145M,46
5714,1103134216,P,77009,M,1946,SRD145M,46
5715,1103134180,E,77009,F,1959,92060,46
5716,1103134259,P,77009,F,1955,SRD145M,46
5718,1103078231,E,77009,F,1958,91052,46
5719,1103141212,P,77009,F,1961,SRD145M,46
5720,1113316620,P,77009,M,1949,SRD143R,46
5721,1103134356,P,77009,F,1951,SRD145M,46
5723,1103141277,P,77009,M,1961,SRD145J,46
5724,1103078334,P,77009,F,1962,SRD145M,46
5725,1106066393,P,77009,M,1961,SRD143R,46
5726,1103078399,E,77009,M,1962,91052,46
5727,1103085376,P,77009,F,1948,SRD145M,46
5728,1103085400,P,77009,M,1949,SRD145M,46
5729,1103085416,P,77009,M,1949,SRD145C,46
5730,1103085428,P,77009,M,1961,SRD145M,46
5731,1103078443,P,77009,F,1936,SRD145M,46
5732,1103085353,P,77009,M,1944,SRD145M,46
5733,1103097375,P,77009,M,1957,SRD145M,46
5734,1103085485,E,77009,F,1963,92061,46
5737,1103118793,P,77009,M,1951,SRD145M,46
5738,1103125975,P,77009,M,1935,SRD145M,46
5739,1103111128,P,77009,F,1941,SRD145M,46
5740,1103111137,P,77009,M,1951,SRD145M,46
5741,1103111171,P,77009,M,1937,SRD145M,46
5742,1103118499,P,77009,F,1940,SRD145M,46
5746,1103125896,P,77009,F,1949,SRD145M,46
5748,1103133946,P,77009,F,1956,SRD145M,46
5750,1103037706,P,77009,F,1954,SRD145M,46
5751,1103077892,P,77009,M,1932,SRD145M,46
5752,1103133525,P,77009,F,1939,SRD145M,46
5754,1103133458,P,77009,F,1947,SRD143R,46
5756,1103037625,P,77009,M,1937,SRD145M,46
5757,1103118890,P,77009,M,1953,SRD145M,46
5758,1103126249,P,77009,F,1954,SRD142K,46
5759,1103118874,P,77009,F,1953,SRD145M,46
5760,1103149494,P,77009,F,1963,SRD145M,46
6391,1103388336,P,77026,F,1954,SRD143R,46
8158,1103554661,P,77003,M,1954,SRD143R,10
25258,1121540294,P,77504,F,1952,SRD144R,793
26980,1111220931,P,77003,M,1958,SRD145M,9
36993,1105853733,P,77087,F,1958,SRD147Z,285
46932,1108897115,P,77087,F,1952,SRD145C,285
46933,1108781930,P,77087,M,1953,SRD146S,285
46934,1112208371,P,77087,F,1956,SRD146S,285
46936,1108789659,P,77087,F,1969,SRD131,285
46937,1108789628,E,77087,F,1955,62039,285
46938,1108781969,E,77087,F,1953,62038,285
46939,1108781976,E,77087,M,1960,62038,285
46940,1116326021,P,77087,F,1970,SRD146S,285
46941,1108782014,P,77087,F,1955,SRD146S,285
46942,1108797303,E,77087,F,1949,62039,285
46943,1108805044,P,77087,F,1949,SRD147Z,285
46944,1108804998,P,77087,F,1966,SRD147Z,285
46947,1108812764,P,77087,F,1944,SRD145C,285
46949,1108812717,E,77087,F,1970,62039,285
46950,1108820386,P,77087,F,1950,SRD145C,285
46951,1108820412,E,77087,F,1943,62038,285
46952,1108820393,P,77087,M,1946,SRD147Z,285
46953,1108850995,P,77087,F,1945,SRD147Z,285
46955,1108843376,P,77087,F,1942,SRD146S,285
46956,1108851062,E,77087,F,1949,62039,285
46958,1108835620,E,77087,F,1966,62038,285
46959,1108835612,P,77087,F,1965,SRD131T,285
46960,1108827959,E,77087,M,1951,91043,285
46961,1108827985,P,77087,F,1957,SRD147Z,285
46962,1108827992,P,77087,F,1963,SRD129S,285
46964,1108866375,P,77087,M,1945,SRD146S,285
46965,1108874102,P,77087,F,1949,SRD145C,285
46966,1117156190,P,77087,F,1953,SRD146T,285
46967,1108874071,P,77087,F,1955,SRD147Z,285
46968,1108874059,P,77087,F,1955,SRD146S,285
46969,1108874139,P,77087,F,1943,SRD147Z,285
46970,1108881715,P,77087,F,1948,SRD145C,285
46971,1106305142,P,77087,F,1965,SRD147Z,285
46972,1108881817,P,77087,F,1941,SRD129E,285
46973,1108889391,E,77087,M,1962,62039,285
46975,1108858862,P,77087,F,1956,SRD146S,285
46976,1108858836,P,77087,F,1950,SRD146S,285
46977,1108835791,Z,77087,F,1956,SRD0145C,285
46978,1108843400,E,77087,F,1954,62038,285
46979,1109089369,P,77087,M,1951,SRD147Z,285
46980,1108843437,E,77087,F,1945,62038,285
46982,1108843463,P,77087,F,1962,SRD147Z,285
46983,1102447157,E,77087,F,1963,62035,285
46984,1108828117,E,77087,M,1948,92099,285
46985,1108889512,P,77087,F,1941,SRD146S,285
46986,1106347232,P,77087,F,1966,SRD145C,285
46988,1108881886,P,77087,F,1956,SRD146S,285
46989,1108881919,E,77087,F,1943,62038,285
46990,1108555777,P,77087,F,1961,SRD146S,285
46991,1107733394,P,77087,F,1962,SRD146S,285
46993,1108881855,E,77087,F,1965,62038,285
46994,1102447310,E,77087,M,1964,62035,285
46996,1108874230,P,77087,M,1947,SRD146S,285
46997,1108874224,P,77087,M,1953,SRD145C,285
46998,1108866470,E,77087,M,1964,91043,285
46999,1108866491,E,77087,F,1943,62026,285
47000,1108866525,P,77087,M,1954,SRD145C,285
47001,1108866462,P,77087,F,1952,SRD146S,285
47002,1110230977,P,77087,M,1945,SRD134W,285
47004,1108897307,E,77087,F,1953,62039,285
47006,1108782051,E,77087,M,1953,91101,285
47007,1108782067,P,77087,F,1954,SRD147Z,285
47008,1108797414,E,77087,M,1960,62035,285
47009,1108797433,P,77087,F,1953,SRD147Z,285
47011,1108789830,P,77087,M,1954,SRD146S,285
47012,1108797405,P,77087,F,1950,SRD145C,285
47013,1108789784,P,77087,F,1965,SRD147Z,285
47014,1108789807,P,77087,F,1945,SRD145C,285
47015,1108789745,E,77087,M,1954,62039,285
47016,1108789766,P,77087,F,1967,SRD145C,285
47017,1108782154,P,77087,M,1949,SRD144R,285
47018,1108805125,P,77087,M,1967,SRD128D,285
47019,1102732892,P,77087,F,1952,SRD146S,285
47020,1108805118,E,77087,M,1955,92118,285
47021,1108812888,E,77087,M,1969,62038,285
47023,1108873757,P,77087,F,1943,SRD147Z,285
47024,1108889050,P,77087,M,1934,SRD146S,285
47029,1108889097,P,77087,F,1947,SRD147Z,285
47030,1108889107,P,77087,M,1946,SRD147Z,285
47033,1103680582,P,77087,M,1944,SRD146S,285
47036,1108842957,P,77087,M,1945,SRD146S,285
47038,1108850602,P,77087,F,1946,SRD147Z,285
47039,1108850591,P,77087,F,1939,SRD145C,285
47040,1105928544,P,77087,M,1937,SRD147Z,285
47044,1108789277,P,77087,M,1953,SRD146C,285
47048,1108812358,P,77087,F,1945,SRD145C,285
47049,1108812343,P,77087,F,1947,SRD147Z,285
47050,1108804709,P,77087,F,1934,SRD147Z,285
47051,1108812294,P,77087,M,1946,SRD146S,285
47053,1108804659,E,77087,M,1943,62038,285
47057,1108796996,E,77087,F,1945,62038,285
47058,1108796983,P,77087,F,1943,SRD146S,285
47059,1108797012,P,77087,M,1947,SRD147Z,285
47060,1108850710,P,77087,F,1948,SRD131,285
47061,1108850723,E,77087,M,1943,91043,285
47062,1108843115,P,77087,F,1948,SRD147Z,285
47063,1105339974,P,77087,M,1937,SRD146C,285
47064,1102547247,P,77087,F,1953,SRD146S,285
47066,1108850775,P,77087,F,1943,SRD146S,285
47067,1108858513,E,77087,F,1951,62039,285
47068,1108866086,E,77087,M,1947,22044,285
47071,1108858430,E,77087,F,1943,62038,285
47072,1108858448,P,77087,F,1948,SRD147Z,285
47073,1108850821,P,77087,F,1948,SRD146C,285
47075,1108866161,E,77087,F,1936,62038,285
47081,1108827738,E,77087,M,1948,62039,285
47086,1108835387,P,77087,F,1954,SRD145C,285
47087,1108827679,P,77087,F,1936,SRD146S,285
47088,1108827698,E,77087,F,1952,62039,285
47089,1108820081,P,77087,F,1951,SRD146S,285
47090,1108820047,P,77087,M,1945,SRD146S,285
47091,1108820023,P,77087,F,1949,SRD145C,285
47092,1108904593,P,77087,M,1950,SRD131C,285
47093,1108789399,P,77087,F,1952,SRD145C,285
47095,1108904586,P,77087,F,1951,SRD129S,285
47097,1108789458,P,77087,M,1942,SRD145C,285
47098,1108789462,P,77087,F,1944,SRD145C,285
47099,1108789415,E,77087,M,1945,62038,285
47100,1103680825,P,77087,F,1958,SRD146S,285
47103,1107684233,P,77087,M,1955,SRD147Z,285
47104,1108896925,P,77087,F,1949,SRD146S,285
47108,1108896885,E,77087,F,1957,62039,285
47109,1108889202,P,77087,M,1946,SRD145C,285
47111,1108881568,E,77087,M,1900,61050,285
47112,1108881552,P,77087,F,1947,SRD147Z,285
47113,1108889153,P,77087,F,1956,SRD147Z,285
47115,1108881510,P,77087,F,1957,SRD145C,285
47117,1108881484,P,77087,F,1948,SRD145C,285
47118,1108881466,P,77087,F,1952,SRD147Z,285
47119,1108866310,P,77087,F,1946,SRD146C,285
47120,1108874016,P,77087,M,1950,SRD147Z,285
47121,1108873941,P,77087,F,1945,SRD147S,285
47122,1108873973,P,77087,F,1959,SRD146S,285
47123,1108881631,E,77087,F,1961,62039,285
47124,1108850930,P,77087,F,1944,SRD146S,285
47125,1108850907,P,77087,F,1957,SRD145C,285
47126,1108850911,P,77087,F,1951,SRD145C,285
47127,1108850924,P,77087,M,1950,SRD145C,285
47128,1108850897,P,77087,F,1959,SRD146T,285
47129,1108850832,Z,77087,M,1946,SRD147Z,285
47130,1108843221,E,77087,F,1949,32065,285
47132,1108858578,E,77087,M,1951,61033,285
47134,1108858584,P,77087,F,1950,SRD147Z,285
47135,1108866254,E,77087,M,1951,62039,285
47138,1108820166,P,77087,M,1949,SRD145C,285
47139,1108812512,E,77087,M,1943,62038,285
47142,1108804830,E,77087,F,1955,62039,285
47143,1108804848,E,77087,M,1954,62039,285
47144,1108804824,P,77087,M,1945,SRD146C,285
47147,1108812423,P,77087,F,1958,SRD146S,285
47148,1108843189,P,77087,F,1949,SRD147Z,285
47150,1108820184,P,77087,F,1956,SRD145C,285
47151,1108827793,P,77087,M,1946,SRD145C,285
47152,1108827803,P,77087,F,1949,SRD145C,285
47153,1108827772,P,77087,F,1946,SRD131T,285
47154,1108827826,P,77087,M,1950,SRD146S,285
47156,1108835523,E,77087,F,1953,62038,285
47157,1108889304,E,77087,M,1952,62038,285
47158,1108889389,P,77087,F,1951,SRD145C,285
47162,1108904689,P,77087,F,1949,SRD146S,285
47164,1108904720,P,77087,F,1950,SRD147Z,285
47165,1112200163,P,77087,F,1955,SRD146S,285
47166,1108593080,P,77087,F,1958,SRD131T,285
47167,1104543378,E,77087,F,1956,31061,285
47168,1108897041,E,77087,F,1962,62038,285
47170,1108897039,P,77087,F,1956,SRD147Z,285
47171,1108897002,E,77087,M,1950,62039,285
47172,1108896956,P,77087,F,1962,SRD145C,285
47173,1108781911,E,77087,F,1945,62038,285
47174,1108607120,E,77087,F,1962,62038,285
47175,1108781884,P,77087,F,1938,SRD147Z,285
47176,1108781821,P,77087,F,1945,SRD145C,285
47177,1108781845,P,77087,F,1962,SRD146S,285
47178,1108904749,P,77087,M,1945,SRD145C,285
47179,1108789587,E,77087,M,1944,62038,285
47180,1108797168,P,77087,M,1960,SRD145C,285
47181,1108789518,E,77087,F,1953,62037,285
47182,1116476495,Z,77087,F,1950,SRD147Z,285
47183,1108789560,P,77087,M,1941,SRD147Z,285
47184,1108797255,P,77087,M,1945,SRD146S,285
47185,1108797240,P,77087,F,1961,SRD147Z,285
47186,1108812583,P,77087,F,1956,SRD146C,285
47188,1108812633,P,77087,M,1954,SRD145C,285
47189,1108812531,E,77087,F,1947,62038,285
47190,1108820289,P,77087,M,1954,SRD147Z,285
47192,1108820317,E,77087,F,1956,62035,285
47193,1108820227,P,77087,F,1948,SRD147Z,285
47194,1108820262,P,77087,F,1946,SRD147Z,285
47195,1108950906,P,77087,F,1969,SRD146S,285
47196,1108820514,P,77087,F,1960,SRD145C,285
47197,1108820505,E,77087,F,1969,62044,285
47198,1108820496,E,77087,F,1969,62039,285
47199,1108820567,P,77087,M,1953,SRD001C,285
56872,1110221271,P,77504,F,1948,SRD144R,347
56873,1102174342,P,77504,M,1957,SRD144R,347
56874,1113486924,P,77504,M,1934,SRD128P,347
56876,1110221285,P,77504,F,1953,SRD128P,347
56877,1110221292,P,77504,M,1954,SRD128P,347
56878,1110229169,P,77504,F,1952,SRD128P,347
56879,1110237038,P,77504,F,1960,SRD144R,347
56880,1110245047,P,77504,F,1947,SRD128P,347
56881,1110245034,P,77504,M,1946,SRD128P,347
56882,1110252970,P,77504,M,1950,SRD144R,347
56883,1110252989,P,77504,F,1950,SRD144R,347
56884,1110253035,P,77504,M,1944,SRD128P,347
